iter	Logloss
0	0.6331926654
1	0.5856850621
2	0.5404348167
3	0.4998173974
4	0.4693843005
5	0.4439474748
6	0.4237912273
7	0.4059811876
8	0.3881602106
9	0.3754684181
10	0.3618974303
11	0.3506074349
12	0.3384940622
13	0.3274297901
14	0.3190809853
15	0.3123237461
16	0.3060085874
17	0.2995063947
18	0.2915071749
19	0.284614508
20	0.2790740433
21	0.2738569831
22	0.2694347629
23	0.2630220643
24	0.2588509148
25	0.2538253988
26	0.2487830369
27	0.2459817998
28	0.2415655511
29	0.2376666555
30	0.2320335066
31	0.2284225951
32	0.2233279824
33	0.220299985
34	0.2180211139
35	0.2149514258
36	0.2118438186
37	0.2089445859
38	0.2049933924
39	0.2023673563
40	0.1988549748
41	0.195960975
42	0.1937553021
43	0.1918943427
44	0.1905322247
45	0.1865742268
46	0.1841422807
47	0.1813254862
48	0.1784810656
49	0.1767476609
50	0.17497794
51	0.1724248507
52	0.1713187535
53	0.1697488582
54	0.1688258037
55	0.1668683572
56	0.1646894775
57	0.1631219552
58	0.1614208909
59	0.1590933991
60	0.1564515072
61	0.1544945007
62	0.1521213897
63	0.1506941665
64	0.1489756277
65	0.1474141711
66	0.1454377886
67	0.1438395758
68	0.1411319658
69	0.1400375445
70	0.1387442875
71	0.1370775123
72	0.1358243115
73	0.1342492619
74	0.1324329317
75	0.1302123458
76	0.1285142987
77	0.1271425634
78	0.1260332762
79	0.1251065287
80	0.1232356691
81	0.122133587
82	0.1203999151
83	0.1192057224
84	0.1180169433
85	0.1168093853
86	0.1159496131
87	0.1136832664
88	0.1120217085
89	0.1103600483
90	0.1093535654
91	0.1082946196
92	0.1071508154
93	0.1058260901
94	0.1045238522
95	0.1033014598
96	0.1024167958
97	0.1010449898
98	0.1002203709
99	0.09914846843
100	0.09841379938
101	0.09720707431
102	0.09621692661
103	0.09497560605
104	0.09362181674
105	0.09286594882
106	0.09186515455
107	0.0909222211
108	0.08949117926
109	0.0885746619
110	0.0873569681
111	0.08647779628
112	0.08533631
113	0.08433842291
114	0.08357449344
115	0.08271227757
116	0.08208612507
117	0.08144781739
118	0.08067004344
119	0.07996340122
120	0.07939807959
121	0.07847291925
122	0.07783436014
123	0.07731688919
124	0.07685281614
125	0.07606036484
126	0.07471869927
127	0.07376200777
128	0.0729700279
129	0.07222275582
130	0.07138287027
131	0.07063766464
132	0.07006220714
133	0.06958076956
134	0.06895596065
135	0.06824183832
136	0.06752986103
137	0.06697866674
138	0.0661868283
139	0.06574531736
140	0.06489728776
141	0.06441756306
142	0.06380126356
143	0.0632200742
144	0.06249603601
145	0.0621853798
146	0.06142993617
147	0.06093749057
148	0.0604707932
149	0.0601833041
150	0.05968504807
151	0.05899868149
152	0.05832879944
153	0.05776744179
154	0.05717420725
155	0.05666398069
156	0.05632807911
157	0.05586675611
158	0.05550136232
159	0.05502468624
160	0.05451901688
161	0.05422524984
162	0.05392293017
163	0.05360819603
164	0.05330313025
165	0.05292062337
166	0.05258371999
167	0.05222776277
168	0.05168321572
169	0.05114966097
170	0.05056398119
171	0.05020133744
172	0.04985696182
173	0.04951009544
174	0.04903587082
175	0.04847986789
176	0.04803910732
177	0.04775560185
178	0.04747643751
179	0.04695811797
180	0.04651047837
181	0.04605740548
182	0.04564704463
183	0.0453559019
184	0.04497680114
185	0.04466528455
186	0.04414780967
187	0.04368718596
188	0.04335456872
189	0.04321465065
190	0.04292256506
191	0.04264762399
192	0.04244975474
193	0.04206854037
194	0.04190229265
195	0.04165353196
196	0.04142255223
197	0.04112935877
198	0.0409283859
199	0.0406843317
